SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Scale,DPaW region,Schedule,Scientific name,Common name,Geographic distribution,ESU number,ESU number reliability,ESU trend,ESU trend reliability,ESU notes,Population number,Population number translocated,Population IUCN category,Population number reliability,Population trend,Population trend reliability,Population notes,Mature individuals number,Mature individuals IUCN category,Mature individuals number reliability,Mature individuals trend,Mature individuals number trend reliability,Mature individuals notes,EOO area ha,EOO area IUCN category,EOO method,EOO trend,EOO notes,AOO area ha,AOO area IUCN category,AOO method,AOO trend,AOO notes,Habitat specificity fire,Habitat specificity restriction,Habitat specificity restriction reliability,Habitat specificity restriction trend,Habitat specificity notes,Last survey  detected year,Last survey not detected year,Last survey  anecdotal year,Additional notes 1 ,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Is full assessment condition,Last full assessment date,Last updated on
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Isopogon robustus,Robust Coneflower,AVW01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,EPBC conservation advice 2009,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Isopogon robustus,Robust Coneflower,AVW01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,Bontainica Consulting 2010 Flora and Vegetation of the Parker Range Region Western Australia,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Isopogon robustus,Robust Coneflower,AVW01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI v) Ex-situ conservation (specify),seed collection,,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Isopogon robustus,Robust Coneflower,AVW01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liaison with proponents,,,,,,,
AVW01,Wheatbelt,Sch1: Extant taxa (Rare flora),Isopogon robustus,Robust Coneflower,AVW01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01","1, but > 1 likely",Quantitative analysis of data not publically available,Static,Expert opinion,"Albany Dist: variation in morphology between pops, unknown cause",9,0,Less than or equal to 10 (potentially meets location/subpopulation criteria VU),Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,"Albany Dist: count; trend - increase due to survey effort, decrease due to past pressures (primarily Pc dieback), overall loss of pops. TPFL 13. IRP 2104: 15 pops but not stated which of these do not have extant plants. ",275,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,"Albany Dist: decline due to threats (mainly Pc dieback). TPFL: 395. IRP 2014: 333, note stated but likely this count includes juveniles, reduction in numbers at populations is evident in long term monitoring. ","124,848","< 500,000ha (potentially meets extent of occurrence criteria EN)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Increased (new knowledge - biological survey),Albany Dist: 120802 + 4046 added from new pop; trend. S&C calc: 120802. IRP 2104: no figure stated but less than 100km2 estimated. ,13.0,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Decreased (pressures > recovery actions),Albany Dist: loss of AOO due to threats. S&C calc: 1400ha. IRP 2104: no figure stated but less than 10km2 estimated. ,,Restricted,Quantitative analysis of data published or publically available following peer review,Static,Albany Dist,2013,,,"Albany Dist: past pressures, future threats, consistent with IRP",Endangered,Critically Endangered,,"B1ab(iii,iv,v)+2ab(iii,iv,v)",Vegetation dieback (specify),Pc dieback,Vegetation dieback (specify),Pc dieback,2014,,,,QTP iii) Quantifying threatening processes – species,determine susceptibility to Pc dieback and other disease (eg. aerial canker & Armillaria),EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP i) Threatened taxa recovery plan (specify),implement IRP,MD ix) Translocation,"consider if appropriate, including new sites and restocking of known populations",MI v) Ex-situ conservation (specify),seed collection,MI xiii) Education and awareness (specify),maintenance of DRF markers,"Albany Dist: management actions, consistent with IRP",,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify),vehicle spread of Pc dieback along access tracks,Recreational disturbance (specify),vehicle spread of Pc dieback along access tracks,,,,,MA iv) Mitigating threatening processes – species,"determine interactions of fire, Pc dieback and drought on recruitment and survival",,,,,MD v) Pathogen control or eradication (specify) ,phosphite application,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc dieback hygiene,,,SEWPAC 2011 info out of date,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,road and track maintenance,Roads & rail,road and track maintenance,,,,,SC ii) Phylogeography & genetic variation/structuring ,determine if there is genetic structuring within the taxa,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with LGAs, academic institutions",,,,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,Au v) Reproductive biology & breeding system,"determine reproductive biology, eg. pollination, seed longevity",,,,,,,MI i) Habitat protection through formal conservation reservation (specify),progress reservation of Crown Reserve 1656 (identified as Red Book area),,,,,,,
Western Australia,Warren,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental stochasticity,drought,,,,,,,,,,,,,MI xii) Planning processes,DPaW inpuit to planning processes,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAR01,South Coast,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",Refer to State level,,,,,3,0,Refer to State level,Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,Albany Dist: loss of 3 pops due to pressures. TPFL 6. ,126,< 250 (sub-region),Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,Albany Dist: decline due to threats (mainly Pc dieback). TPFL 292,Refer to State level,Refer to State level,-,Static (no change),S&C calc: 8592ha,3.5,< 10ha (sub-region),Sum of mapped polygons,Decreased (pressures > recovery actions),Albany Dist: loss of AOO due to threats. S&C calc: 479ha. ,,Restricted,Quantitative analysis of data published or publically available following peer review,Static,Albany Dist,2013,,,"Albany Dist: past pressures, future threats, consistent with IRP",Endangered,Critically Endangered,,"B1ab(iii,iv,v)+2ab(iii,iv,v)",Pc Dieback,,Pc Dieback,,2014,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD ix) Translocation,"consider if appropriate, including new sites and restocking of known populations",MI v) Ex-situ conservation (specify),seed collection,MI xiii) Education and awareness (specify),maintenance of DRF markers,"Albany Dist: management actions, consistent with IRP",,,,
WAR01,South Coast,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify),vehicle spread of Pc dieback along access tracks,Recreational disturbance (specify),vehicle spread of Pc dieback along access tracks,,,,,,,,,,,MD v) Pathogen control or eradication (specify) ,phosphite application,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc dieback hygiene,,,SEWPAC 2011 info out of date,,,,
WAR01,Warren,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with LGAs, academic institutions",,,,,,,
WAR01,Warren,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental stochasticity,drought,,,,,,,,,,,,,MI i) Habitat protection through formal conservation reservation (specify),progress reservation of Crown Reserve 1656 (identified as Red Book area),,,,,,,
WAR01,Warren,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW inpuit to planning processes,,,,,,,
JAF02,South Coast,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",Refer to State level,,,,,6,0,Refer to State level,Quantitative analysis of data not publically available,Static (increases = losses),Quantitative analysis of data not publically available,"Albany Dist: loss of 2 pops, gained 2; increase due to survey effort, decrease due to past pressures (primarily Pc dieback). TPFL 6. ",149,< 250 (sub-region),Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,Albany Dist: decline due to threats (mainly Pc dieback). TPFL 84. ,Refer to State level,Refer to State level,-,Increased (new knowledge - biological survey),Albany Dist: new pop added area. S&C calc: 90929ha,9.0,< 10ha (sub-region),Sum of mapped polygons,Decreased (pressures > recovery actions),Albany Dist: loss of AOO due to threats. S&C calc: 683ha. ,,Restricted,Quantitative analysis of data published or publically available following peer review,Static,Albany Dist,2012,,,,,,,,Vegetation dieback (specify),Pc dieback,Vegetation dieback (specify),Pc dieback,2014,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD ix) Translocation,"consider if appropriate, including new sites and restocking of known populations",MI v) Ex-situ conservation (specify),seed collection,MI xiii) Education and awareness (specify),maintenance of DRF markers,"Albany Dist: management actions, consistent with IRP",,,,
JAF02,Warren,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,road and track maintenance,Roads & rail,road and track maintenance,,,,,,,,,,,MD v) Pathogen control or eradication (specify) ,phosphite application,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc dieback hygiene,,,SEWPAC 2011 info out of date,,,,
JAF02,Wheatbelt,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with LGAs, academic institutions",,,,,,,
JAF02,Wheatbelt,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental stochasticity,drought,,,,,,,,,,,,,MI xii) Planning processes,DPaW inpuit to planning processes,,,,,,,
ESP01,South Coast,Sch1: Extant taxa (Rare flora),Isopogon uncinatus,Albany Cone Bush,"ESP01,JAF02,WAR01",Refer to State level,,,,,0,0,Refer to State level,-,,,"Albany Dist: Mt Manypeaks area included in JAF02, incorrect boundary location. ",0,N/A,-,,,"Albany Dist: Mt Manypeaks area included in JAF02, incorrect boundary location. ",N/A,N/A,,,"Albany Dist: Mt Manypeaks area included in JAF02, incorrect boundary location. ",N/A,N/A,,,,,,,,N/A,,,,"Albany Dist: remove suregion from list, Mt Manypeaks area now JAF02",Endangered,Critically Endangered,,"B1ab(iii,iv,v)+2ab(iii,iv,v)",,,,,,,,,,,,,,,,,,,,,"Albany Dist: remove suregion from list, Mt Manypeaks area now JAF02",,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,"1, but > 1 likely",Quantitative unpublished data and expert opinion,Static,Expert opinion,Moora Dist: disjunct distribition,14,0,Less than or equal to 20 (does not meet IUCN location/subpopulation criteria),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,Moora Dist: 9 TPFL pops in district; Pop 13 on Stone Rd found in 2009; pop 14a found 2009? Biological pops not recorded. ,515,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative unpublished data and expert opinion,Decreased (pressures > recovery actions),Quantitative unpublished data and expert opinion,"Moora Dist: count, pop 3c had approx 700 juveniles in 2006 of which approx 400 mature survivors were present in 2012; however most other pops lost plants; new pops have small numbers of plants. JM: this figure does not include Central Wheatbelt figs. 334 TPFL","31,836","< 500,000ha (potentially meets extent of occurrence criteria EN)",Minimum convex polygon (state detail):,Increased (new knowledge - biological survey),Moora Dist: pops 13 and 14 found 2009,<10,< 10ha (potentially meets area of occupancy criteria for CR),Estimate based on expert opinion ,Increased (new knowledge - biological survey),Moora Dist: increase due to new pops found,,Broad,Expert opinion,Static,Moora Dist ,2013,,,"JM: Number of pops includes both districts as TPFL fig was used; for number of mature individuals Central Wheatbelt figs have not been added, however the number in Moora Dist alone was higher than TPFL fig. ",,,,B2ab(iii),Cropping/Horticulture (specify),historic clearing & fragmentation of habitat; fence maintenance,Cropping/Horticulture (specify),historic clearing & fragmentation of habitat; fence maintenance,2009,,,,IN v) Threatened & priority flora locations (individual species),survey of potential habitats,EV ii) Develop/implement threat monitoring protocols,,,,MD ix) Translocation,translocations where appropriate,MI xi) Regulation - environmental impact assessment,,MI xiii) Education and awareness (specify),LGA and Main Roads officer education re: importance of avoiding DRF,Moora Dist: management actions,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moora Dist: past pressures and future threats,,,,,Weeds (specify dominant spp),grasses,Weeds (specify dominant spp),grasses,,,,,QTP iii) Quantifying threatening processes – species,Burn trials to determine response to fire and appropriate fire regime,,,,,MD ii) Weed control or eradication,weed management within populations,MI x) Regulation - Native vegetation clearing/pollution,DPaW input to clearing permit process for The Midlands Rd to minimise & mitigate impacts on DRF ,MI xiii) Education and awareness (specify),maintain DRF markers,SEWPAC 2011 & IRP 2009,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,"road and rail maintenance, weed spraying, clearing for drainage, damage by vehicles pulling off the road",Roads & rail,"road and rail maintenance, weed spraying, clearing for drainage,  damage by vehicles pulling off the road, maintence will clear and impact all The Midlands Rd pops in 2014",,,,,SC ii) Phylogeography & genetic variation/structuring,determine if there is genetic structuring between the disjunct populations,,,,,,,MI xii) Planning processes,DPaW impact to planning processes,MI xiii) Education and awareness (specify),promotional material for local landholders,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (agriculture),"overspray from agriculture, significant deaths of plants on The Midlands Rd and private property",Pollution (agriculture),"overspray from agriculture, significant deaths of plants on The Midlands Rd and private property",,,,,Au v) Reproductive biology & breeding system,seed viability & germination success; pollinator biology,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with LGAs, Main Roads, rail utilities, private property owners",,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,gravel extraction,Mining ,gravel extraction,,,,,,,,,,,,,MI v) Ex-situ conservation (specify),seed collection and storage,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing & trampling by sheep,Livestock farming (specify),grazing & trampling by sheep,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (household),rubbish dumping,Pollution (household),rubbish dumping,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverse management fire (specify),fire break maintenance,Adverse management fire (specify),fire break maintenance,,,,,,,,,,,,,,,,,,,,,
GES02,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,"1, but > 1 likely",Quantitative unpublished data and expert opinion,Static,Expert opinion,Moora Dist: disjunct distribition,14,0,Less than or equal to 20 (does not meet IUCN location/subpopulation criteria),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,Moora Dist: 9 TPFL pops in district; Pop 13 on Stone Rd found in 2009; pop 14a found 2009? Biological pops not recorded. ,515,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative unpublished data and expert opinion,Decreased (pressures > recovery actions),Quantitative unpublished data and expert opinion,"Moora Dist: count, pop 3c had approx 700 juveniles in 2006 of which approx 400 mature survivors were present in 2012; however most other pops lost plants; new pops have small numbers of plants. JM: this figure does not include Central Wheatbelt figs. 334 TPFL","31,836","< 500,000ha (potentially meets extent of occurrence criteria EN)",Minimum convex polygon (state detail):,Increased (new knowledge - biological survey),Moora Dist: pops 13 and 14 found 2009,<10,< 10ha (potentially meets area of occupancy criteria for CR),Estimate based on expert opinion ,Increased (new knowledge - biological survey),Moora Dist: increase due to new pops found,,Broad,Expert opinion,Static,Moora Dist ,2013,,,"JM: Number of pops includes both districts as TPFL fig was used; for number of mature individuals Central Wheatbelt figs have not been added, however the number in Moora Dist alone was higher than TPFL fig. ",,Critically Endangered,,B2ab(iii),Cropping/Horticulture (specify),historic clearing & fragmentation of habitat; fence maintenance,Cropping/Horticulture (specify),historic clearing & fragmentation of habitat; fence maintenance,2009,,,,IN v) Threatened & priority flora locations (individual species),survey of potential habitats,EV ii) Develop/implement threat monitoring protocols,,,,MD ix) Translocation,translocations where appropriate,MI xi) Regulation - environmental impact assessment,,MI xiii) Education and awareness (specify),LGA and Main Roads officer education re: importance of avoiding DRF,Moora Dist: management actions,,,,
GES02,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moora Dist: past pressures and future threats,,,,,Weeds (specify dominant spp),grasses,Weeds (specify dominant spp),grasses,,,,,QTP iii) Quantifying threatening processes – species,Burn trials to determine response to fire and appropriate fire regime,,,,,MD ii) Weed control or eradication,weed management within populations,MI x) Regulation - Native vegetation clearing/pollution,DPaW input to clearing permit process for The Midlands Rd to minimise & mitigate impacts on DRF ,MI xiii) Education and awareness (specify),maintain DRF markers,SEWPAC 2011 & IRP 2009,,,,
GES02,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,"road and rail maintenance, weed spraying, clearing for drainage, damage by vehicles pulling off the road",Roads & rail,"road and rail maintenance, weed spraying, clearing for drainage,  damage by vehicles pulling off the road, maintence will clear and impact all The Midlands Rd pops in 2014",,,,,SC ii) Phylogeography & genetic variation/structuring,determine if there is genetic structuring between the disjunct populations,,,,,,,MI xii) Planning processes,DPaW impact to planning processes,MI xiii) Education and awareness (specify),promotional material for local landholders,,,,,
GES02,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (agriculture),"overspray from agriculture, significant deaths of plants on The Midlands Rd and private property",Pollution (agriculture),"overspray from agriculture, significant deaths of plants on The Midlands Rd and private property",,,,,Au v) Reproductive biology & breeding system,seed viability & germination success; pollinator biology,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with LGAs, Main Roads, rail utilities, private property owners",,,,,,,
GES02,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,gravel extraction,Mining ,gravel extraction,,,,,,,,,,,,,MI v) Ex-situ conservation (specify),seed collection and storage,,,,,,,
GES02,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing & trampling by sheep,Livestock farming (specify),grazing & trampling by sheep,,,,,,,,,,,,,,,,,,,,,
GES02,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,,,,,,,,,,,,,
GES02,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (household),rubbish dumping,Pollution (household),rubbish dumping,,,,,,,,,,,,,,,,,,,,,
GES02,Midwest,Sch1: Extant taxa (Rare flora),Jacksonia pungens,Pungent Jacksonia,GES02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverse management fire (specify),fire break maintenance,Adverse management fire (specify),fire break maintenance,,,,,,,,,,,,,,,,,,,,,
Western Australia,"Southwest, Wheatbelt",Sch1: Extant taxa (Rare flora),Jacksonia velveta,Collie Jacksonia,"AVW02, JAF01, JAF02","1, but > 1 likely",Expert opinion,Static,Expert opinion,South West Region: disjunct populations,5,0,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative analysis of data not publically available,Unknown,Quantitative analysis of data not publically available,"JM: count as per subregions below, but this taxon was not discussed with Great Southern Dist (sorry), so trends are unknown.  TPFL 6. ",184,< 250 (potentially meets mature individual criteria CR),Quantitative analysis of data not publically available,Unknown,Quantitative analysis of data not publically available,"JM: count as per subregions below, but this taxon was not discussed with Great Southern Dist (sorry), so trends are unknown. EPBC conservation advice 2008: approx 400 mature individuals. ","162,484","< 500,000ha (potentially meets extent of occurrence criteria EN)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Unknown,"S&C calc: area. JM: polygon is correct for TPFL popupations, this taxon was discussed with South West Region (1 pop in JAF02) but not with Great Southern Dist (4 pops in AVW02 and JAF01), so trends are unknown. EPBC conservation advice 2008:170,000ha. ",3.0,< 10ha (potentially meets area of occupancy criteria for CR),Other (state details):,Unknown,"EPBC conservation advice 2008: 0.03km2 for all pops. JM: as per subregions below, trend unknown. ",,Highly restricted,Quantitative analysis of data published or publically available but not peer reviewed,Static,"South West Region: highly restricted. EPBC conservation advice 2008: brown to red gravelly loam over laterite, on slight slopes in low woodland areas. ",2012,,,South West Region & EPBC conservation advice 2008: past pressures and future threats. ,Endangered,Endangered,,"C2a(i); B1ab(iii,v)+2ab(iii,v)",Roads & rail,road maintenance,Roads & rail,road maintenance,None,,,,QTP iii) Quantifying threatening processes – species,"reproductive biology, germination trials and fire",EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),update Central Forests DRF and poorly known flora plan (2001),MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection & germination trials,MI xiii) Education and awareness (specify),install/maintain DRF markers,"JM: management requirements from South West Region, with those related to EIA/clearing permits/DRF markers and IRP added from other similar taxa. ",,,,
