SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION_CAT,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illegal activity (specify),"poaching, shooting by landholders",Illegal activity (specify),"poaching, shooting by landholders",,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,EP Act; WC Act to address poaching and illegal shooting,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",burns nest trees,"Fire regime (intensity, frequency, seasonality, scale)",burns nest trees,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with landholders, NRM organisations, industry organisations, proponents, LGAs and other relevant organisations",,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dams,reduces stream flows and roosting/drinking sites,Dams,reduces stream flows and roosting/drinking sites,,,,,,,,,,,,,MI xiv) Capacity building (specify),support of development of non-lethal methods to limit damage to horticultural industry,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify),reducing stream flows and standing water for drinking,Water abstraction (specify),reducing stream flows and standing water for drinking,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced invertebrates (specify),Feral bees taking over hollows,Invasive/introduced invertebrates (specify),Feral bees taking over hollows,,,,,,,,,,,,,MI xii) Planning processes,Strategic Assessment Perth and Peel,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify),"Corellas, galahs taking over hollows",Problem native spp. (specify),"Corellas, galahs taking over hollows",,,,,,,,,,,,,,,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (industrial),"pollution of waterways, waste water, runoff (drinking water sources)",Pollution (industrial),"pollution of waterways, waste water, runoff (drinking water sources)",,,,,,,,,,,,,,,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (agriculture),"pollution of waterways, waste water, runoff, eutrophication (drinking water sources)",Pollution (agriculture),"pollution of waterways, waste water, runoff, eutrophication (drinking water sources)",,,,,,,,,,,,,,,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Climate change (drought, short periods) ",effects on habitat,"Climate change (drought, short periods) ",effects on habitat,,,,,,,,,,,,,,,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),effects on habitat,Climate change (long-term reduced rainfall),effects on habitat,,,,,,,,,,,,,,,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forestry/Silviculture,removal of nest hollows,Forestry/Silviculture,removal of nest hollows,,,,,,,,,,,,,,,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunting,historic reduction in population numbers due to shooting by landholders,Hunting,historic reduction in population numbers due to shooting by landholders,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,Refer to State level,,,,,1,0,Refer to State level,Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,Garnett et al 2011: 1 pop for whole of SW,Not available at sub-regional level,Not available at sub-regional level,Quantitative analysis of data published or publically available following peer review,Unknown,-,"Garnett et al 2011: 15000 mature indivuals and declining at State level, Not available at sub-regional level",Refer to State level,Refer to State level,,Unknown,S&C: 237251ha,Not available at sub-regional level,Not available at sub-regional level,Other (state details):,Decreased (pressures > recovery actions),"Garnett et al 2011: 2000000ha at State level, area of habitat declining especially due to loss of nest trees",,Moderate,Expert opinion,Static,"Swan workshop. RP: Nests in the hollows of mature Marri Corymbia calophylla, Jarrah Eucalyptus marginata and Karri E. diversicolour in south-west forests and may only breed in years when Marri is fruiting in abundance. Feeds on Marri and Jarrah in south-west forests and Blackbutt E. patens, Albany Blackbutt E. staeri, Sheoak Allocasuarina fraseriana, Snottygobble Persoonia longifolia. Also feeds on the non-indigenous native Spotted Gum E. maculata and Cape Lilac Melia azedarach on the Swan Coastal Plain.",2010,,,Wheatbelt workshop: sometimes seen in subregion but not thought to be breeding in subregion.,Vulnerable,Vulnerable,2005,A2c+3c+4c,Cropping/Horticulture (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),Cropping/Horticulture (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),2008,,,,IN iv) Threatened & priority fauna locations (individual species),,EV v) Compile and synthesis existing data on occurrences and state (specify source of data),,,,MD iv) Herbivore/omnivore control or eradication ,control bees if nesting in subregion (Dryandra),MI i) Habitat protection through formal conservation reservation (specify),reservation of habitat where appropriate,MI xiii) Education and awareness (specify),"promotion of conservation values of black cockatoos, encourage reporting of sightings to assist with determining whether this taxon is breeding in subregion. ",Wheatbelt workshop: management actions,,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JM: S&C records indicates distribution at western edge of subregion. WAM & RP info notes eastern extent of range is Williams (eastern JAF01) and Kojonup (eastern JAF02). ,,,,,Livestock farming (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),Livestock farming (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),,,,,Au ii) Ecological niche and life history (habitat suitability),determine if breeding in subregion,,,,,,,MI ii) Habitat protection through other statutory mechanisms (specify),conservation covenants where appropriate,,,"JM: Swan workshop advised to include management actions from Garnett et al 2011 and RP. I have added relevant actions to subregion, please check. ",,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Climate change (drought, short periods) ",effects on habitat,"Climate change (drought, short periods) ",effects on habitat,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),off reserve conservation,,,,,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),effects on habitat,Climate change (long-term reduced rainfall),effects on habitat,,,,,,,,,,,,,MI ix) Regulation - Water allocation,,,,,,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,EP Act; WC Act to address poaching and illegal shooting,,,,,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with landholders, NRM organisations, industry organisations, proponents, LGAs and other relevant organisations",,,,,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xiv) Capacity building (specify),support of development of non-lethal methods to limit damage to horticultural industry,,,,,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xiv) Capacity building (specify),support of development of non-lethal methods to limit damage to horticultural industry,,,,,,,
AVW02,Wheabelt,Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
JAF01,"Swan, Southwest",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,South West of WA,Refer to State level,,,,,1,0,Refer to State level,Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,Garnett et al 2011: 1 pop for whole of SW,Not available at sub-regional level,Not available at sub-regional level,Quantitative analysis of data published or publically available following peer review,Unknown,-,"Garnett et al 2011: 15000 mature indivuals and declining at State level, Not available at sub-regional level",Refer to State level,Refer to State level,,Unknown,S&C: 1389925ha,Not available at sub-regional level,Not available at sub-regional level,Other (state details):,Decreased (pressures > recovery actions),"Garnett et al 2011: 2000000ha at State level, area of habitat declining especially due to loss of nest trees",,Moderate,Expert opinion,Static,"Swan workshop. RP: Nests in the hollows of mature Marri Corymbia calophylla, Jarrah Eucalyptus marginata and Karri E. diversicolour in south-west forests and may only breed in years when Marri is fruiting in abundance. Feeds on Marri and Jarrah in south-west forests and Blackbutt E. patens, Albany Blackbutt E. staeri, Sheoak Allocasuarina fraseriana, Snottygobble Persoonia longifolia. Also feeds on the non-indigenous native Spotted Gum E. maculata and Cape Lilac Melia azedarach on the Swan Coastal Plain.",2012,,,JM: past pressures and future threats adapted from Garnett et al 2011 and Swan workshop,Vulnerable,Vulnerable,2005,A2c+3c+4c,Cropping/Horticulture (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),Cropping/Horticulture (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),2008,,,,IN iv) Threatened & priority fauna locations (individual species),,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD i) Fire management for biodiversity (specify),,MI i) Habitat protection through formal conservation reservation (specify),reservation of habitat where appropriate,MI xiii) Education and awareness (specify),promotion of conservation values of black cockatoos,,,,,
JAF01,"Swan, Southwest",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),Livestock farming (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),,,,,IN i) Vegetation mapping (specify scale),map feeding and breeding habitats critical to survival,EV v) Compile and synthesis existing data on occurrences and state (specify source of data),,,,MD iv) Herbivore/omnivore control or eradication ,honey bee control where appropriate; corella and/or galah control where appropriate,MI ii) Habitat protection through other statutory mechanisms (specify),conservation covenants where appropriate,MI xiv) Capacity building (specify),eduaction to address at illegal shooting/capture,,,,,
JAF01,"Swan, Southwest",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,"clearing, dewatering",Mining ,"clearing, dewatering",,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),off reserve conservation,,,,,,,
JAF01,"Swan, Southwest",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,road kill,Roads & rail,road kill,,,,,,,,,,,,,MI ix) Regulation - Water allocation,,,,,,,,
JAF01,"Swan, Southwest",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illegal activity (specify),"poaching, shooting by landholders",Illegal activity (specify),"poaching, shooting by landholders",,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
JAF01,"Swan, Southwest",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",burns nest trees,"Fire regime (intensity, frequency, seasonality, scale)",burns nest trees,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
JAF01,"Swan, Southwest",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dams,reduces stream flows and roosting/drinking sites,Dams,reduces stream flows and roosting/drinking sites,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,EP Act; WC Act to address poaching and illegal shooting,,,,,,,
JAF01,"Swan, Southwest",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify),reducing stream flows and standing water for drinking,Water abstraction (specify),reducing stream flows and standing water for drinking,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with landholders, NRM organisations, industry organisations, proponents, LGAs and other relevant organisations",,,,,,,
